epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.649,1.59211,4.20257,1.33682,0.26392,0.11951,0.03459,0.02316,1.3678,3.86323,1.14306,0.000151149,0.000151149,0.000151149
2,230.674,1.63936,3.45045,1.34104,0.27186,0.1217,0.04012,0.02685,1.35574,3.56106,1.13091,0.00029682,0.00029682,0.00029682
3,315.393,1.61832,3.22044,1.32919,0.18862,0.14368,0.05161,0.03403,1.35385,3.1664,1.16777,0.000436485,0.000436485,0.000436485
4,401.78,1.60923,3.11395,1.33213,0.20303,0.13221,0.06271,0.04179,1.31546,3.15933,1.13955,0.000427973,0.000427973,0.000427973
5,487.209,1.57769,3.01758,1.31022,0.21174,0.15532,0.0694,0.04483,1.37229,3.06291,1.14105,0.000418964,0.000418964,0.000418964
6,571.256,1.55258,2.9092,1.29981,0.1785,0.16697,0.07877,0.05385,1.27584,2.85131,1.12687,0.000409955,0.000409955,0.000409955
7,658.377,1.52259,2.8282,1.29102,0.33191,0.14973,0.09513,0.06489,1.29436,2.71304,1.11975,0.000400946,0.000400946,0.000400946
8,752.068,1.51479,2.75411,1.27585,0.25517,0.16644,0.09941,0.06927,1.26991,2.73598,1.11292,0.000391937,0.000391937,0.000391937
9,849.232,1.51302,2.69109,1.28046,0.21137,0.18632,0.10971,0.07474,1.25406,2.5691,1.11288,0.000382928,0.000382928,0.000382928
10,956.638,1.50221,2.64353,1.27755,0.22821,0.18564,0.12184,0.08553,1.24076,2.53809,1.09664,0.000373919,0.000373919,0.000373919
11,1057.69,1.48201,2.59442,1.26719,0.23485,0.18668,0.12622,0.087,1.25639,2.4998,1.11195,0.00036491,0.00036491,0.00036491
12,1142.61,1.47456,2.55147,1.27062,0.24722,0.19995,0.12452,0.08817,1.23753,2.65738,1.097,0.000355901,0.000355901,0.000355901
13,1226.76,1.45758,2.50939,1.25344,0.27236,0.17428,0.11382,0.07681,1.25797,2.73778,1.09735,0.000346892,0.000346892,0.000346892
