epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,411.732,3.89448,5.36245,4.04419,0.00388,0.1146,0.0032,0.00103,3.2768,10.0127,3.71839,0.000151149,0.000151149,0.000151149
2,644.376,3.069,4.51338,3.12154,0.00644,0.22679,0.0112,0.00478,2.59944,4.31781,2.73507,0.00029682,0.00029682,0.00029682
3,887.057,2.63324,3.99331,2.57537,0.26869,0.03046,0.01295,0.00583,2.3973,4.02548,2.38867,0.000436485,0.000436485,0.000436485
4,1115.54,2.43147,3.78236,2.32486,0.26043,0.02346,0.01291,0.00651,2.24006,3.98204,2.19089,0.000427973,0.000427973,0.000427973
5,1369.05,2.2623,3.64008,2.13198,0.27765,0.07049,0.02127,0.01106,2.05989,3.63369,1.97309,0.000418964,0.000418964,0.000418964
6,1637.09,2.1745,3.53361,2.04465,0.25639,0.05739,0.02217,0.01267,1.8853,3.48159,1.85872,0.000409955,0.000409955,0.000409955
7,1922.4,2.09653,3.43689,1.96899,0.29201,0.066,0.02412,0.01322,1.87128,3.39179,1.80487,0.000400946,0.000400946,0.000400946
8,2241.71,2.05214,3.35715,1.90663,0.21975,0.06569,0.02669,0.01579,1.82983,3.27899,1.76234,0.000391937,0.000391937,0.000391937
9,2527.75,2.023,3.30789,1.87741,0.22736,0.06552,0.02807,0.016,1.7759,3.20652,1.71528,0.000382928,0.000382928,0.000382928
10,2890.63,1.98127,3.28075,1.84752,0.18583,0.09207,0.03137,0.01846,1.75399,3.24152,1.69704,0.000373919,0.000373919,0.000373919
11,3146.41,1.95538,3.25353,1.82588,0.30135,0.07491,0.03303,0.01936,1.74391,3.13882,1.66629,0.00036491,0.00036491,0.00036491
12,3413.31,1.91535,3.19395,1.79437,0.16936,0.10139,0.03281,0.01948,1.68473,3.13299,1.62787,0.000355901,0.000355901,0.000355901
13,3694.28,1.90959,3.19526,1.7735,0.16727,0.09649,0.03352,0.0195,1.68879,3.15517,1.59521,0.000346892,0.000346892,0.000346892
14,4664.24,1.89374,3.1608,1.77041,0.22958,0.1151,0.03886,0.02403,1.6619,3.08396,1.59133,0.000337883,0.000337883,0.000337883
15,6895.19,1.89531,3.13152,1.74462,0.34853,0.11179,0.03839,0.02328,1.61181,2.99699,1.57328,0.000328874,0.000328874,0.000328874
