epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.401,3.923,5.36583,4.08018,0.39554,0.01273,0.00245,0.00072,3.26115,8.75398,3.67206,0.000151149,0.000151149,0.000151149
2,316.515,3.10785,4.54977,3.184,0.29474,0.02942,0.00692,0.00262,2.72142,5.33193,2.80229,0.00029682,0.00029682,0.00029682
3,449.141,2.70524,4.089,2.65166,0.20664,0.01997,0.01295,0.00562,2.43518,4.04389,2.43684,0.000436485,0.000436485,0.000436485
4,579.18,2.45349,3.8205,2.37711,0.26755,0.02987,0.01472,0.00731,2.22029,3.89418,2.18667,0.000427973,0.000427973,0.000427973
5,721.605,2.29546,3.67254,2.19298,0.21742,0.05002,0.0192,0.01048,2.05426,3.59642,2.04143,0.000418964,0.000418964,0.000418964
6,856.788,2.1928,3.562,2.09338,0.21349,0.05635,0.02047,0.01102,1.9264,3.52902,1.91605,0.000409955,0.000409955,0.000409955
7,991.31,2.10301,3.4546,2.00233,0.32774,0.06432,0.02521,0.0143,1.87153,3.50111,1.81892,0.000400946,0.000400946,0.000400946
8,1126.05,2.0665,3.37474,1.94689,0.22807,0.08083,0.02582,0.01447,1.82354,3.31048,1.78732,0.000391937,0.000391937,0.000391937
9,1258.95,2.02017,3.32319,1.91401,0.2812,0.05922,0.02729,0.01564,1.77486,3.17454,1.74712,0.000382928,0.000382928,0.000382928
10,1393.18,1.9912,3.28559,1.88146,0.22999,0.08921,0.03158,0.01852,1.76364,3.1818,1.72033,0.000373919,0.000373919,0.000373919
11,1535.41,1.96412,3.24963,1.85279,0.28524,0.07737,0.03149,0.01919,1.76884,3.15965,1.71263,0.00036491,0.00036491,0.00036491
12,1668.46,1.91546,3.21502,1.8255,0.22324,0.10923,0.03157,0.01889,1.70419,3.11733,1.67313,0.000355901,0.000355901,0.000355901
13,1801.05,1.909,3.1898,1.79726,0.22195,0.09944,0.03128,0.01816,1.71098,3.12421,1.64044,0.000346892,0.000346892,0.000346892
14,1936.75,1.88622,3.16052,1.78288,0.19389,0.10617,0.03486,0.02157,1.65486,3.08153,1.61539,0.000337883,0.000337883,0.000337883
15,2067.01,1.88578,3.13162,1.75806,0.25079,0.10713,0.03475,0.02111,1.63025,3.05851,1.59651,0.000328874,0.000328874,0.000328874
16,2200.61,1.85078,3.10315,1.74242,0.18204,0.11239,0.03755,0.02295,1.6287,2.98365,1.57688,0.000319865,0.000319865,0.000319865
17,2335.26,1.83955,3.08617,1.72947,0.08335,0.11368,0.03745,0.0232,1.58919,2.93579,1.5545,0.000310856,0.000310856,0.000310856
18,2479.09,1.81471,3.07335,1.70099,0.12734,0.12762,0.04028,0.02486,1.57923,3.02009,1.54052,0.000301847,0.000301847,0.000301847
19,2613.05,1.79196,3.01161,1.68458,0.1446,0.11914,0.04321,0.02681,1.57952,2.92718,1.54329,0.000292838,0.000292838,0.000292838
20,2752.67,1.8154,3.03606,1.70526,0.14829,0.12243,0.04336,0.02685,1.56373,2.888,1.52645,0.000283829,0.000283829,0.000283829
21,2884.63,1.79922,3.02324,1.68358,0.22221,0.13463,0.04587,0.02895,1.56571,2.83852,1.52144,0.00027482,0.00027482,0.00027482
22,3020.11,1.78209,2.98382,1.68295,0.20785,0.12893,0.04411,0.02765,1.57122,2.87877,1.52256,0.000265811,0.000265811,0.000265811
23,3155.47,1.77888,2.98175,1.67397,0.20743,0.13803,0.04858,0.03087,1.5258,2.83912,1.49772,0.000256802,0.000256802,0.000256802
24,3294.13,1.75594,2.95317,1.66121,0.20153,0.14299,0.04817,0.03008,1.53772,2.88831,1.49686,0.000247793,0.000247793,0.000247793
25,3426.91,1.72794,2.93125,1.64805,0.21799,0.14878,0.05279,0.03303,1.5247,2.81262,1.49038,0.000238784,0.000238784,0.000238784
26,3564.02,1.75297,2.93729,1.66478,0.16555,0.14853,0.05393,0.03408,1.51004,2.81812,1.47514,0.000229775,0.000229775,0.000229775
27,3695.84,1.73427,2.91088,1.62625,0.20663,0.14789,0.05874,0.03759,1.50288,2.77408,1.47286,0.000220766,0.000220766,0.000220766
28,3836.08,1.74424,2.89816,1.63508,0.17804,0.1462,0.05592,0.03561,1.47111,2.76191,1.46323,0.000211757,0.000211757,0.000211757
29,3971.57,1.70466,2.86441,1.61689,0.19862,0.15198,0.05878,0.03756,1.47915,2.75841,1.45893,0.000202748,0.000202748,0.000202748
30,4107.41,1.70889,2.85177,1.61023,0.16802,0.15268,0.06341,0.04126,1.4744,2.7557,1.44986,0.000193739,0.000193739,0.000193739
31,4246.78,1.69826,2.82159,1.60473,0.23478,0.15045,0.0652,0.04204,1.48676,2.7404,1.45808,0.00018473,0.00018473,0.00018473
32,4387.17,1.68854,2.81385,1.60371,0.1754,0.15298,0.06574,0.04265,1.48283,2.72364,1.45342,0.000175721,0.000175721,0.000175721
33,4535.15,1.70235,2.82329,1.60523,0.17723,0.14855,0.06722,0.04433,1.46498,2.73972,1.44559,0.000166712,0.000166712,0.000166712
