epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.969,2.33201,11.8841,0.48899,0.21229,0.10735,0.03002,0.01961,2.166,10.4934,0.42692,0.00332203,0.00332203,0.00332203
2,212.978,2.3978,9.72057,0.48928,0.18048,0.13106,0.04622,0.03109,2.10839,9.0629,0.42211,0.00662219,0.00662219,0.00662219
3,308.707,2.35636,8.74164,0.4808,0.13791,0.14274,0.06799,0.04497,2.08057,8.79003,0.4214,0.0098891,0.0098891,0.0098891
4,417.581,2.3715,8.41349,0.48052,0.15875,0.12178,0.06958,0.04662,2.1054,8.58774,0.42155,0.00985043,0.00985043,0.00985043
5,505.392,2.34899,8.065,0.47759,0.18007,0.14427,0.08588,0.05696,2.17939,8.21039,0.4234,0.00980058,0.00980058,0.00980058
6,590.747,2.28235,7.70407,0.46528,0.22475,0.17832,0.10425,0.0723,2.08279,7.97757,0.41217,0.00975072,0.00975072,0.00975072
7,681.312,2.28312,7.41176,0.4651,0.24365,0.16595,0.11798,0.08226,2.03773,7.60908,0.41482,0.00970086,0.00970086,0.00970086
8,777.185,2.2567,7.16476,0.4604,0.24116,0.16802,0.11571,0.08155,2.05932,7.77628,0.41588,0.00965101,0.00965101,0.00965101
9,863.885,2.2064,6.91429,0.45533,0.24603,0.18973,0.1348,0.09511,2.06894,7.49247,0.4157,0.00960115,0.00960115,0.00960115
10,954.905,2.19112,6.70218,0.45247,0.25661,0.19925,0.14037,0.10054,2.02557,7.35265,0.40843,0.0095513,0.0095513,0.0095513
11,1042.92,2.18279,6.55557,0.44755,0.31532,0.19313,0.14461,0.10278,2.01808,7.34039,0.41399,0.00950144,0.00950144,0.00950144
12,1129.22,2.15993,6.34033,0.44382,0.30475,0.2049,0.15136,0.10833,1.97933,7.25011,0.40937,0.00945158,0.00945158,0.00945158
13,1215.01,2.12549,6.13504,0.44068,0.30117,0.20677,0.16238,0.11707,2.01288,7.09241,0.40704,0.00940173,0.00940173,0.00940173
14,1307.42,2.11074,5.9164,0.43841,0.33498,0.20075,0.16444,0.1191,1.98537,7.20207,0.40503,0.00935187,0.00935187,0.00935187
15,1400.87,2.11337,5.78028,0.43764,0.31751,0.21067,0.17118,0.12255,1.98841,6.96473,0.40741,0.00930202,0.00930202,0.00930202
16,1491.8,2.08325,5.66524,0.43425,0.34097,0.19137,0.1655,0.12188,1.9791,7.10287,0.40763,0.00925216,0.00925216,0.00925216
17,1577.29,2.07692,5.47144,0.43292,0.34239,0.20279,0.17448,0.12717,2.00175,7.03739,0.40697,0.0092023,0.0092023,0.0092023
18,1669.14,2.05426,5.40254,0.43082,0.33877,0.21211,0.18522,0.1351,2.00321,6.82417,0.40564,0.00915245,0.00915245,0.00915245
19,1762.29,2.05066,5.22503,0.42765,0.33972,0.20488,0.17983,0.13175,1.96917,6.91312,0.40487,0.00910259,0.00910259,0.00910259
20,1855.57,2.03576,5.0676,0.42751,0.35926,0.20962,0.17808,0.12929,1.97229,6.83601,0.40205,0.00905274,0.00905274,0.00905274
21,1944.04,2.02727,5.00511,0.42601,0.36595,0.21855,0.19309,0.13925,1.97552,6.66254,0.40803,0.00900288,0.00900288,0.00900288
22,2032.73,2.00307,4.88942,0.42397,0.37056,0.22795,0.19052,0.13833,1.95122,6.82045,0.40427,0.00895302,0.00895302,0.00895302
23,2117.69,1.99489,4.79242,0.42339,0.40784,0.20639,0.1934,0.13909,1.99355,6.69152,0.40697,0.00890317,0.00890317,0.00890317
24,2202.03,1.97075,4.65616,0.42145,0.39954,0.23196,0.21071,0.15528,1.9533,6.56529,0.40675,0.00885331,0.00885331,0.00885331
25,2287.58,1.9788,4.56137,0.42198,0.39243,0.21389,0.20279,0.14619,1.9686,6.67301,0.40292,0.00880346,0.00880346,0.00880346
26,2372.37,1.95509,4.48167,0.41939,0.40078,0.21305,0.20058,0.14693,1.95502,6.66405,0.4072,0.0087536,0.0087536,0.0087536
27,2456.52,1.93854,4.37635,0.41345,0.45878,0.21744,0.21687,0.15963,1.9506,6.59218,0.40274,0.00870374,0.00870374,0.00870374
28,2535.15,1.94458,4.33323,0.41449,0.48953,0.21087,0.21352,0.15737,1.91236,6.53385,0.40088,0.00865389,0.00865389,0.00865389
29,2613.21,1.91312,4.21582,0.41246,0.40068,0.23536,0.22192,0.16236,1.9311,6.552,0.40234,0.00860403,0.00860403,0.00860403
30,2691.59,1.89778,4.13501,0.41101,0.41848,0.22829,0.2151,0.15699,1.94374,6.5025,0.40244,0.00855418,0.00855418,0.00855418
31,2770.01,1.9034,4.0679,0.41233,0.3841,0.2154,0.21647,0.16019,1.94445,6.57897,0.4032,0.00850432,0.00850432,0.00850432
32,2848.43,1.91465,4.04832,0.41007,0.43772,0.24234,0.23141,0.16941,1.94548,6.28461,0.403,0.00845446,0.00845446,0.00845446
33,2927.2,1.90134,3.95422,0.41026,0.36338,0.238,0.22926,0.1679,1.95045,6.41904,0.40357,0.00840461,0.00840461,0.00840461
34,3006.09,1.88525,3.90199,0.40706,0.39955,0.22731,0.22958,0.16886,1.92119,6.39049,0.39902,0.00835475,0.00835475,0.00835475
35,3083.5,1.88761,3.84545,0.40946,0.42803,0.22125,0.22766,0.16982,1.92188,6.37003,0.4012,0.0083049,0.0083049,0.0083049
36,3159.63,1.87219,3.77791,0.4066,0.47156,0.22218,0.2367,0.17348,1.92766,6.25319,0.40184,0.00825504,0.00825504,0.00825504
37,3235.74,1.87125,3.71135,0.40663,0.44223,0.23522,0.24178,0.17789,1.91303,6.24771,0.39597,0.00820518,0.00820518,0.00820518
38,3312.75,1.81808,3.57279,0.39994,0.46857,0.23765,0.23913,0.17288,1.93206,6.29464,0.39973,0.00815533,0.00815533,0.00815533
39,3388.88,1.83949,3.59342,0.40368,0.42442,0.2371,0.24177,0.17852,1.89201,6.17127,0.39675,0.00810547,0.00810547,0.00810547
40,3466.61,1.83035,3.56107,0.40297,0.46495,0.24406,0.23728,0.17165,1.92905,6.23092,0.40046,0.00805562,0.00805562,0.00805562
41,3543.25,1.80945,3.51225,0.39759,0.39753,0.25051,0.24392,0.17779,1.92023,6.19157,0.39874,0.00800576,0.00800576,0.00800576
42,3620,1.81285,3.45753,0.39988,0.48241,0.22402,0.23742,0.1742,1.93764,6.31096,0.40148,0.0079559,0.0079559,0.0079559
43,3696.66,1.8296,3.43199,0.40174,0.39984,0.25824,0.25093,0.18532,1.91892,6.13351,0.3999,0.00790605,0.00790605,0.00790605
44,3772.52,1.80669,3.36338,0.39621,0.47409,0.23833,0.25748,0.18938,1.91458,6.13027,0.40212,0.00785619,0.00785619,0.00785619
45,3849.05,1.78513,3.27018,0.39747,0.49051,0.23425,0.24477,0.17985,1.93905,6.19894,0.40059,0.00780634,0.00780634,0.00780634
46,3924.97,1.7788,3.2852,0.39464,0.53303,0.24339,0.25092,0.18574,1.89908,6.12372,0.39402,0.00775648,0.00775648,0.00775648
47,4000.66,1.77688,3.24635,0.39556,0.42818,0.25636,0.25416,0.18716,1.91107,6.06339,0.39698,0.00770662,0.00770662,0.00770662
48,4076.33,1.77212,3.21374,0.39413,0.48401,0.24638,0.25584,0.19001,1.90479,6.07935,0.39636,0.00765677,0.00765677,0.00765677
49,4151.78,1.76919,3.17739,0.39503,0.5481,0.2419,0.25041,0.18407,1.91627,6.22739,0.3994,0.00760691,0.00760691,0.00760691
50,4227.35,1.75891,3.12057,0.39411,0.41903,0.2711,0.25752,0.19154,1.88972,6.03587,0.39616,0.00755706,0.00755706,0.00755706
51,4303.17,1.75459,3.07416,0.39244,0.45385,0.25656,0.26035,0.19472,1.9248,6.1513,0.39933,0.0075072,0.0075072,0.0075072
52,4378.98,1.73971,3.053,0.39205,0.43967,0.25596,0.25955,0.1915,1.8907,5.9613,0.39652,0.00745734,0.00745734,0.00745734
53,4454.29,1.74258,3.03833,0.39165,0.49241,0.24733,0.26222,0.19448,1.9208,6.01184,0.39933,0.00740749,0.00740749,0.00740749
54,4530.31,1.74258,3.02429,0.39169,0.46319,0.24782,0.26106,0.19491,1.88534,6.07283,0.39695,0.00735763,0.00735763,0.00735763
55,4606.86,1.73217,2.98422,0.38989,0.53397,0.24629,0.26306,0.19452,1.90233,5.93342,0.39805,0.00730778,0.00730778,0.00730778
56,4682.88,1.72003,2.9494,0.3893,0.59427,0.23645,0.26083,0.19282,1.89468,6.02175,0.39733,0.00725792,0.00725792,0.00725792
57,4758.84,1.7238,2.93358,0.39116,0.47488,0.27025,0.26782,0.19872,1.8841,5.88245,0.39474,0.00720806,0.00720806,0.00720806
58,4834.71,1.7093,2.88486,0.38671,0.49468,0.25428,0.26178,0.19416,1.8962,6.01706,0.39545,0.00715821,0.00715821,0.00715821
59,4910.12,1.70276,2.88185,0.38805,0.54266,0.2466,0.26577,0.19521,1.88957,6.01054,0.39495,0.00710835,0.00710835,0.00710835
60,4985.87,1.70542,2.86801,0.38983,0.48923,0.25766,0.26656,0.19816,1.89735,5.97791,0.39803,0.0070585,0.0070585,0.0070585
61,5061.47,1.71635,2.832,0.38747,0.51209,0.26627,0.27597,0.20385,1.89026,5.86402,0.39425,0.00700864,0.00700864,0.00700864
62,5137.44,1.697,2.84625,0.38787,0.47422,0.27199,0.27251,0.20155,1.89322,5.87715,0.39492,0.00695878,0.00695878,0.00695878
63,5213.23,1.67602,2.77908,0.38444,0.49033,0.27002,0.27135,0.19987,1.87617,5.93433,0.39585,0.00690893,0.00690893,0.00690893
64,5288.89,1.69218,2.75824,0.38462,0.57772,0.25222,0.2742,0.20271,1.8806,5.92122,0.39348,0.00685907,0.00685907,0.00685907
65,5365.02,1.67852,2.73133,0.3838,0.52931,0.27095,0.28012,0.20741,1.89252,5.90427,0.3969,0.00680922,0.00680922,0.00680922
66,5440.58,1.67593,2.70963,0.38163,0.5292,0.25717,0.27283,0.20117,1.87698,5.95384,0.39508,0.00675936,0.00675936,0.00675936
67,5516.29,1.68003,2.68405,0.38179,0.5591,0.26771,0.28009,0.20585,1.88571,5.87733,0.39605,0.0067095,0.0067095,0.0067095
68,5591.94,1.6738,2.67078,0.38256,0.54594,0.26165,0.28066,0.2085,1.8881,5.80287,0.39574,0.00665965,0.00665965,0.00665965
69,5667.53,1.65286,2.65499,0.38098,0.55872,0.26518,0.27837,0.20489,1.89765,5.9008,0.39675,0.00660979,0.00660979,0.00660979
70,5743.27,1.67861,2.66087,0.38324,0.51093,0.26875,0.28161,0.20926,1.88364,5.91854,0.39603,0.00655994,0.00655994,0.00655994
71,5819.75,1.65218,2.62255,0.3799,0.54645,0.26494,0.28172,0.2098,1.89032,5.85659,0.39607,0.00651008,0.00651008,0.00651008
72,5895.33,1.65009,2.62331,0.38149,0.52249,0.27267,0.28242,0.20946,1.86862,5.8669,0.39443,0.00646022,0.00646022,0.00646022
73,5971.01,1.62538,2.54253,0.37891,0.58175,0.26132,0.27958,0.20644,1.87979,5.85421,0.39516,0.00641037,0.00641037,0.00641037
74,6047.06,1.62295,2.56079,0.37833,0.54249,0.26862,0.28584,0.21188,1.85706,5.8188,0.39327,0.00636051,0.00636051,0.00636051
75,6122.67,1.63045,2.53602,0.37863,0.58883,0.25844,0.28713,0.21396,1.86031,5.78455,0.39291,0.00631066,0.00631066,0.00631066
76,6198.64,1.6195,2.51523,0.37783,0.58564,0.25956,0.28587,0.2144,1.85093,5.85652,0.39441,0.0062608,0.0062608,0.0062608
77,6274.86,1.60474,2.46837,0.37557,0.50624,0.27275,0.28169,0.21072,1.86336,5.86981,0.39427,0.00621094,0.00621094,0.00621094
78,6351.15,1.61628,2.45444,0.37761,0.56258,0.27009,0.28941,0.21622,1.87242,5.84066,0.39685,0.00616109,0.00616109,0.00616109
79,6426.61,1.61367,2.48011,0.37688,0.57861,0.26242,0.28578,0.21201,1.86357,5.89318,0.39509,0.00611123,0.00611123,0.00611123
80,6503.02,1.6112,2.45659,0.37559,0.58124,0.26342,0.28847,0.21463,1.84673,5.85646,0.39141,0.00606138,0.00606138,0.00606138
81,6578.64,1.59772,2.44933,0.37472,0.57419,0.26919,0.29044,0.21563,1.86571,5.8544,0.39527,0.00601152,0.00601152,0.00601152
82,6654.69,1.60209,2.45712,0.37464,0.54882,0.27071,0.29053,0.21692,1.8709,5.84301,0.39529,0.00596166,0.00596166,0.00596166
83,6731.3,1.60171,2.41477,0.37546,0.52079,0.27711,0.29136,0.21517,1.87645,5.79861,0.3957,0.00591181,0.00591181,0.00591181
84,6807.73,1.60808,2.43466,0.37503,0.51559,0.27892,0.29091,0.21537,1.85939,5.76149,0.39467,0.00586195,0.00586195,0.00586195
85,6883.23,1.56749,2.34139,0.37266,0.54752,0.27811,0.29008,0.21658,1.86745,5.86933,0.39606,0.0058121,0.0058121,0.0058121
86,6959.25,1.60678,2.40402,0.3764,0.54641,0.2791,0.28953,0.21738,1.8497,5.82935,0.39483,0.00576224,0.00576224,0.00576224
87,7035.3,1.55955,2.34095,0.3721,0.53891,0.27799,0.29309,0.21731,1.85497,5.78116,0.39527,0.00571238,0.00571238,0.00571238
88,7111.79,1.58341,2.34107,0.37292,0.51706,0.27916,0.28795,0.2143,1.86556,5.85105,0.39523,0.00566253,0.00566253,0.00566253
89,7187.65,1.55739,2.30808,0.37059,0.60169,0.26927,0.29552,0.22059,1.85891,5.81378,0.39456,0.00561267,0.00561267,0.00561267
90,7263.31,1.57672,2.33024,0.37373,0.56452,0.27897,0.29428,0.21919,1.86211,5.83232,0.39431,0.00556282,0.00556282,0.00556282
91,7339.11,1.57194,2.30871,0.3732,0.5719,0.27682,0.29584,0.21953,1.86115,5.91113,0.39403,0.00551296,0.00551296,0.00551296
92,7415.18,1.55598,2.30785,0.37089,0.54877,0.27513,0.2914,0.21822,1.86785,5.83524,0.39642,0.0054631,0.0054631,0.0054631
93,7494.53,1.5586,2.29373,0.3707,0.5648,0.27797,0.29406,0.21864,1.86219,5.80839,0.3941,0.00541325,0.00541325,0.00541325
94,7573.28,1.5465,2.25643,0.37043,0.57626,0.27395,0.29337,0.21776,1.85899,5.81035,0.39532,0.00536339,0.00536339,0.00536339
95,7649.26,1.5499,2.24703,0.36992,0.59062,0.27303,0.2939,0.21892,1.85927,5.83838,0.39432,0.00531354,0.00531354,0.00531354
96,7725.95,1.53313,2.21584,0.36797,0.5328,0.27535,0.29427,0.21934,1.86322,5.8603,0.39443,0.00526368,0.00526368,0.00526368
97,7802,1.54404,2.21434,0.3687,0.52707,0.27948,0.29575,0.22035,1.85406,5.79474,0.39284,0.00521382,0.00521382,0.00521382
98,7877.83,1.54526,2.23538,0.36848,0.58513,0.27599,0.29688,0.22024,1.84949,5.81407,0.39327,0.00516397,0.00516397,0.00516397
99,7954.04,1.5295,2.21609,0.36886,0.5339,0.2835,0.29441,0.21948,1.84806,5.77893,0.39224,0.00511411,0.00511411,0.00511411
100,8030.06,1.53164,2.22693,0.36911,0.56759,0.28046,0.30021,0.22548,1.84835,5.70642,0.39251,0.00506426,0.00506426,0.00506426
101,8106.85,1.5353,2.20027,0.36915,0.56036,0.28393,0.29953,0.22474,1.84005,5.72676,0.39218,0.0050144,0.0050144,0.0050144
102,8182.99,1.52208,2.1885,0.3668,0.58844,0.27759,0.29882,0.22351,1.83167,5.76032,0.39189,0.00496454,0.00496454,0.00496454
103,8259.01,1.51373,2.17278,0.36649,0.61832,0.27508,0.30386,0.22694,1.83821,5.74512,0.39188,0.00491469,0.00491469,0.00491469
104,8335.31,1.50551,2.10751,0.36605,0.55601,0.28797,0.30468,0.22735,1.83644,5.70646,0.39103,0.00486483,0.00486483,0.00486483
105,8411.63,1.50721,2.12924,0.36636,0.6178,0.27691,0.30797,0.22887,1.85667,5.67933,0.39306,0.00481498,0.00481498,0.00481498
106,8487.84,1.49567,2.116,0.36612,0.58359,0.28053,0.30522,0.22777,1.85259,5.71223,0.39209,0.00476512,0.00476512,0.00476512
107,8563.48,1.5174,2.13941,0.36846,0.54769,0.28461,0.30582,0.22977,1.84755,5.71508,0.39209,0.00471526,0.00471526,0.00471526
108,8639.13,1.48703,2.09423,0.36452,0.58358,0.2745,0.3045,0.22797,1.85371,5.75245,0.39336,0.00466541,0.00466541,0.00466541
109,8715.1,1.48821,2.10969,0.36537,0.53508,0.29387,0.30727,0.22967,1.84268,5.72832,0.39135,0.00461555,0.00461555,0.00461555
110,8791.41,1.49198,2.08558,0.36511,0.54371,0.29498,0.30854,0.23105,1.8339,5.67373,0.39091,0.0045657,0.0045657,0.0045657
111,8867.21,1.50122,2.09167,0.36448,0.58475,0.28352,0.30833,0.23044,1.84364,5.71773,0.39266,0.00451584,0.00451584,0.00451584
112,8943.58,1.48308,2.06074,0.36318,0.57169,0.28322,0.31003,0.23276,1.8469,5.73545,0.3927,0.00446598,0.00446598,0.00446598
113,9019.34,1.4896,2.06468,0.36414,0.61663,0.28424,0.31,0.23185,1.84614,5.69956,0.39232,0.00441613,0.00441613,0.00441613
114,9094.88,1.47871,2.06053,0.3628,0.59184,0.29319,0.31174,0.23438,1.84033,5.68965,0.39221,0.00436627,0.00436627,0.00436627
115,9171.96,1.47088,2.02639,0.36289,0.59583,0.28589,0.3092,0.2329,1.83221,5.72869,0.39176,0.00431642,0.00431642,0.00431642
116,9247.6,1.46796,2.04503,0.36288,0.58101,0.28775,0.30673,0.23127,1.83033,5.72913,0.3916,0.00426656,0.00426656,0.00426656
117,9323.73,1.45937,2.01445,0.36243,0.5484,0.29012,0.30692,0.23066,1.82334,5.76149,0.39099,0.0042167,0.0042167,0.0042167
118,9399.43,1.47098,2.03332,0.36288,0.55959,0.29421,0.30898,0.23262,1.82822,5.76913,0.39189,0.00416685,0.00416685,0.00416685
119,9475.04,1.44399,2.01145,0.36025,0.5782,0.28863,0.31002,0.23403,1.83249,5.75768,0.39257,0.00411699,0.00411699,0.00411699
120,9550.45,1.46081,2.01649,0.36153,0.58523,0.2866,0.31059,0.23483,1.83481,5.76756,0.39182,0.00406714,0.00406714,0.00406714
121,9626.03,1.4611,2.02985,0.36267,0.55687,0.29519,0.3115,0.23508,1.83781,5.74204,0.39197,0.00401728,0.00401728,0.00401728
122,9702.4,1.47158,2.03836,0.36248,0.55578,0.29267,0.31136,0.23429,1.83949,5.73524,0.39169,0.00396742,0.00396742,0.00396742
123,9777.91,1.45302,1.98309,0.36055,0.5878,0.28228,0.31084,0.23367,1.83251,5.7241,0.39163,0.00391757,0.00391757,0.00391757
124,9853.82,1.45126,1.97774,0.36144,0.55972,0.28952,0.31193,0.2352,1.83017,5.72015,0.39157,0.00386771,0.00386771,0.00386771
125,9929.17,1.43825,1.98622,0.36023,0.59696,0.28657,0.31214,0.23512,1.82425,5.71803,0.39113,0.00381786,0.00381786,0.00381786
126,10004.2,1.44053,1.97604,0.35936,0.56957,0.29369,0.31274,0.23512,1.83363,5.69888,0.39161,0.003768,0.003768,0.003768
127,10080.1,1.43254,1.96642,0.36016,0.58074,0.28741,0.31035,0.233,1.84012,5.71183,0.39225,0.00371814,0.00371814,0.00371814
128,10155.9,1.41537,1.93298,0.35996,0.59751,0.28507,0.30884,0.23329,1.83736,5.70951,0.39226,0.00366829,0.00366829,0.00366829
129,10250.8,1.43717,1.95371,0.36031,0.57094,0.29032,0.30865,0.23291,1.83482,5.71399,0.39215,0.00361843,0.00361843,0.00361843
130,10347.5,1.40771,1.93051,0.35717,0.56618,0.29017,0.30982,0.23302,1.83204,5.71598,0.39179,0.00356858,0.00356858,0.00356858
131,10423.2,1.4439,1.95781,0.35966,0.56569,0.28832,0.30879,0.23295,1.83295,5.7226,0.39224,0.00351872,0.00351872,0.00351872
132,10498.4,1.44141,1.95557,0.36046,0.58889,0.28356,0.3101,0.23399,1.83081,5.72647,0.39174,0.00346886,0.00346886,0.00346886
133,10574.6,1.41234,1.89634,0.3589,0.65403,0.27281,0.31054,0.23435,1.83294,5.71857,0.39184,0.00341901,0.00341901,0.00341901
134,10650.3,1.41081,1.88836,0.35704,0.58838,0.28584,0.31015,0.23458,1.8292,5.72665,0.39109,0.00336915,0.00336915,0.00336915
135,10725.9,1.40175,1.88281,0.35812,0.57164,0.2908,0.31031,0.23507,1.82673,5.73313,0.39027,0.0033193,0.0033193,0.0033193
136,10801,1.40796,1.88993,0.35681,0.57854,0.29016,0.31095,0.23464,1.82794,5.72416,0.39016,0.00326944,0.00326944,0.00326944
137,10877,1.38818,1.86856,0.356,0.60677,0.2826,0.31067,0.23551,1.82677,5.73834,0.39003,0.00321958,0.00321958,0.00321958
138,10953.1,1.40317,1.89609,0.3569,0.59879,0.28313,0.31167,0.2366,1.82411,5.73948,0.38956,0.00316973,0.00316973,0.00316973
139,11029.2,1.40532,1.89059,0.35726,0.62351,0.27995,0.31192,0.23669,1.82244,5.75936,0.38935,0.00311987,0.00311987,0.00311987
140,11107.4,1.39748,1.86982,0.35642,0.60571,0.28571,0.31291,0.23659,1.82696,5.76226,0.38942,0.00307002,0.00307002,0.00307002
141,11184.9,1.37977,1.84867,0.356,0.61835,0.28082,0.31214,0.23638,1.8323,5.77242,0.39002,0.00302016,0.00302016,0.00302016
142,11260.2,1.38954,1.86366,0.35592,0.64083,0.27666,0.31099,0.23529,1.82965,5.77486,0.38979,0.0029703,0.0029703,0.0029703
