epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.24,6.19083,15.079,1.57686,0.00197,0.00609,0.00037,0.0001,5.88515,16.1698,1.63348,0.00332203,0.00332203,0.00332203
2,195.017,5.66263,13.716,1.54372,0.05986,0.02008,0.00129,0.00041,5.15786,19.273,1.56406,0.00662219,0.00662219,0.00662219
3,290.793,5.01042,12.619,1.39392,0.0021,0.12303,0.00188,0.00076,4.9261,30.6228,1.44991,0.0098891,0.0098891,0.0098891
4,385.606,4.54914,11.5231,1.22199,0.34327,0.03646,0.00404,0.00136,4.50598,15.1379,1.15162,0.00985043,0.00985043,0.00985043
5,479.701,4.14401,10.8061,1.09105,0.49229,0.0197,0.01232,0.00516,3.8245,10.9831,1.00681,0.00980058,0.00980058,0.00980058
6,577.234,3.87047,10.2254,0.99489,0.30987,0.02689,0.01386,0.00573,3.69322,10.47,0.93653,0.00975072,0.00975072,0.00975072
7,676.465,3.68082,9.82559,0.93049,0.27591,0.03063,0.01997,0.00836,3.67093,10.161,0.90959,0.00970086,0.00970086,0.00970086
8,773.353,3.56914,9.49198,0.89045,0.28489,0.04474,0.02308,0.0111,3.43146,9.78179,0.83246,0.00965101,0.00965101,0.00965101
9,899.317,3.43758,9.19454,0.84423,0.18902,0.0433,0.0267,0.01396,3.25751,9.3941,0.80937,0.00960115,0.00960115,0.00960115
10,1002.31,3.34368,8.97795,0.81245,0.18087,0.07558,0.02656,0.01355,3.18065,9.35331,0.76255,0.0095513,0.0095513,0.0095513
11,1096.28,3.29362,8.85511,0.79187,0.25943,0.05295,0.03289,0.01772,3.06991,8.87152,0.75696,0.00950144,0.00950144,0.00950144
12,1192.22,3.20382,8.67347,0.76476,0.19815,0.06811,0.0328,0.0176,3.04667,8.79255,0.73018,0.00945158,0.00945158,0.00945158
13,1286.58,3.14081,8.47371,0.74511,0.21416,0.09418,0.03975,0.02127,2.94183,8.48632,0.70419,0.00940173,0.00940173,0.00940173
14,1381.92,3.08313,8.28925,0.72881,0.31342,0.1127,0.04318,0.0241,2.91837,8.3981,0.70121,0.00935187,0.00935187,0.00935187
15,1476.07,3.05071,8.16442,0.71442,0.25027,0.11374,0.04403,0.0245,2.87247,8.31299,0.68789,0.00930202,0.00930202,0.00930202
16,1569.65,2.99932,8.0982,0.70867,0.26497,0.10071,0.04272,0.02484,2.80259,8.21707,0.67102,0.00925216,0.00925216,0.00925216
17,1663.81,2.93704,7.9305,0.69106,0.23935,0.10703,0.0506,0.02831,2.8101,8.21194,0.67024,0.0092023,0.0092023,0.0092023
18,1760.66,2.94235,7.86576,0.69025,0.26984,0.11769,0.05059,0.02916,2.73049,7.99038,0.66036,0.00915245,0.00915245,0.00915245
19,1854.48,2.90173,7.74484,0.68328,0.25969,0.13015,0.05244,0.03031,2.73561,7.999,0.65108,0.00910259,0.00910259,0.00910259
20,1948.43,2.86537,7.62349,0.66957,0.28147,0.1109,0.05395,0.03149,2.72787,8.00776,0.64569,0.00905274,0.00905274,0.00905274
21,2042.09,2.84361,7.52837,0.66346,0.20458,0.10881,0.05568,0.03361,2.776,7.90477,0.64727,0.00900288,0.00900288,0.00900288
22,2135.47,2.81743,7.42195,0.65628,0.21877,0.13443,0.06304,0.03799,2.71305,7.81573,0.63977,0.00895302,0.00895302,0.00895302
23,2228.77,2.78825,7.40249,0.65333,0.22581,0.14182,0.06581,0.03954,2.6958,7.77351,0.63475,0.00890317,0.00890317,0.00890317
24,2322.37,2.75886,7.31227,0.64719,0.214,0.13808,0.06224,0.03673,2.70701,7.72957,0.63532,0.00885331,0.00885331,0.00885331
25,2416.1,2.75008,7.19895,0.64314,0.23882,0.12625,0.06131,0.0378,2.64595,8.10679,0.61623,0.00880346,0.00880346,0.00880346
26,2514.91,2.71989,7.12911,0.63648,0.23502,0.14214,0.06802,0.03955,2.68155,7.78816,0.63013,0.0087536,0.0087536,0.0087536
27,2613.68,2.72908,7.02074,0.6315,0.25218,0.13331,0.06945,0.04228,2.63063,7.58259,0.61932,0.00870374,0.00870374,0.00870374
28,2710.67,2.69875,6.98997,0.62611,0.23961,0.12991,0.07175,0.04375,2.64249,7.61042,0.61908,0.00865389,0.00865389,0.00865389
29,2806.18,2.6788,6.87619,0.6267,0.24697,0.14699,0.07718,0.04695,2.62959,7.41819,0.61045,0.00860403,0.00860403,0.00860403
30,2899.89,2.65964,6.76532,0.62147,0.23336,0.14035,0.07698,0.04653,2.61932,7.51368,0.60537,0.00855418,0.00855418,0.00855418
