epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2431,5.59836,15.4263,1.59224,0,0,0,0,5.54109,15.2729,1.55266,8.33e-06,8.33e-06,8.33e-06
2,23.4686,5.58699,15.3873,1.59489,0,0,0,0,5.54087,15.2723,1.5525,1.69601e-05,1.69601e-05,1.69601e-05
3,32.9692,5.51048,15.3056,1.59492,0,0,0,0,5.54079,15.2726,1.55241,2.46409e-05,2.46409e-05,2.46409e-05
4,42.591,5.58569,15.1141,1.59601,0,0,0,0,5.54038,15.2752,1.55237,3.13724e-05,3.13724e-05,3.13724e-05
5,58.25,5.60516,15.1355,1.59648,0,0,0,0,5.53957,15.2795,1.55244,3.71547e-05,3.71547e-05,3.71547e-05
6,67.7759,5.67108,15.1855,1.59263,0,0,0,0,5.53986,15.2866,1.55274,4.19878e-05,4.19878e-05,4.19878e-05
7,77.4072,5.58058,15.3222,1.58737,0,0,0,0,5.54015,15.2956,1.55314,4.58715e-05,4.58715e-05,4.58715e-05
8,91.2196,5.69446,15.2191,1.58823,0,0,0,0,5.54053,15.3101,1.5538,4.88061e-05,4.88061e-05,4.88061e-05
9,100.859,5.55831,15.0017,1.59879,0,0,0,0,5.54136,15.3296,1.55471,5.07913e-05,5.07913e-05,5.07913e-05
10,110.535,5.43659,14.9889,1.59256,0,0,0,0,5.54206,15.3445,1.55556,5.18273e-05,5.18273e-05,5.18273e-05
11,119.955,5.39273,15.1911,1.6019,0,0,0,0,5.5432,15.3763,1.55726,5.19141e-05,5.19141e-05,5.19141e-05
12,131.976,5.3189,15.0643,1.59994,0,0,0,0,5.54409,15.4003,1.5589,5.10516e-05,5.10516e-05,5.10516e-05
13,142.426,5.39001,15.0594,1.59279,0,0,0,0,5.54593,15.4267,1.56038,4.78056e-05,4.78056e-05,4.78056e-05
14,151.764,5.38759,15.0544,1.58481,0,0,0,0,5.54583,15.4551,1.5618,4.18728e-05,4.18728e-05,4.18728e-05
15,161.106,5.37819,14.9982,1.58561,0,0,0,0,5.54468,15.4823,1.56289,3.59399e-05,3.59399e-05,3.59399e-05
16,170.561,5.39615,15.0189,1.58856,0,0,0,0,5.54396,15.5075,1.5636,3.0007e-05,3.0007e-05,3.0007e-05
17,180.038,5.42341,14.9579,1.59127,0,0,0,0,5.54269,15.526,1.56412,2.40742e-05,2.40742e-05,2.40742e-05
18,190.126,5.30495,14.909,1.59034,0,0,0,0,5.54098,15.5318,1.56405,1.81413e-05,1.81413e-05,1.81413e-05
19,199.476,5.35073,14.973,1.58819,0,0,0,0,5.53516,15.518,1.56342,1.22084e-05,1.22084e-05,1.22084e-05
20,209.106,5.37181,14.8458,1.59476,0,0,0,0,5.52885,15.481,1.56185,6.27558e-06,6.27558e-06,6.27558e-06
