epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.134,2.37125,11.4118,0.51092,0.13422,0.10375,0.0526,0.03781,1.85212,8.7057,0.40904,0.00332203,0.00332203,0.00332203
2,281.565,2.14984,7.79554,0.47142,0.2256,0.18491,0.10234,0.07555,1.79252,7.1406,0.39452,0.00661113,0.00661113,0.00661113
3,401.901,2.08277,6.85579,0.45237,0.224,0.18513,0.09425,0.06846,1.80567,7.19933,0.39376,0.0098559,0.0098559,0.0098559
4,523.644,2.06954,6.44135,0.44361,0.23093,0.17348,0.11924,0.0857,1.88847,6.68399,0.40286,0.00980058,0.00980058,0.00980058
5,689.493,2.0341,5.84675,0.43715,0.28753,0.20326,0.15056,0.10966,1.82677,6.34899,0.39403,0.0097341,0.0097341,0.0097341
6,828.967,1.95022,5.34879,0.42693,0.32835,0.22431,0.18031,0.13487,1.79755,5.99992,0.3948,0.00966763,0.00966763,0.00966763
7,976.714,1.94615,4.97827,0.42491,0.3698,0.22541,0.18608,0.13923,1.77447,5.91968,0.38914,0.00960115,0.00960115,0.00960115
8,1103.94,1.92313,4.6831,0.4204,0.31123,0.21403,0.18612,0.14095,1.76635,5.9369,0.38933,0.00953468,0.00953468,0.00953468
9,1231.27,1.86537,4.37826,0.41608,0.36112,0.20574,0.19105,0.1415,1.84788,6.14602,0.39981,0.0094682,0.0094682,0.0094682
10,1355.63,1.85004,4.15445,0.41217,0.35878,0.2305,0.20883,0.15688,1.74886,5.83196,0.38757,0.00940173,0.00940173,0.00940173
11,1480.3,1.83915,3.97658,0.40796,0.45318,0.23562,0.23245,0.17643,1.75272,5.62946,0.39093,0.00933525,0.00933525,0.00933525
12,1605.25,1.82073,3.79524,0.40644,0.46235,0.23737,0.22442,0.16935,1.7788,5.74937,0.39056,0.00926878,0.00926878,0.00926878
13,1728.61,1.77886,3.58134,0.40236,0.40831,0.25588,0.23817,0.18257,1.77934,5.74691,0.38921,0.0092023,0.0092023,0.0092023
14,1852.42,1.75527,3.416,0.39881,0.49811,0.23697,0.24332,0.18024,1.77823,5.57178,0.39116,0.00913583,0.00913583,0.00913583
15,1976.82,1.75498,3.29614,0.39791,0.4677,0.23033,0.23285,0.1739,1.74732,5.6881,0.38662,0.00906935,0.00906935,0.00906935
16,2100.15,1.73791,3.23809,0.39706,0.44109,0.25212,0.24815,0.1844,1.74887,5.61946,0.38928,0.00900288,0.00900288,0.00900288
17,2223.68,1.71817,3.06203,0.39267,0.43404,0.26406,0.25085,0.18769,1.77235,5.7913,0.38782,0.00893641,0.00893641,0.00893641
18,2347.27,1.70596,3.02145,0.391,0.44574,0.26158,0.25218,0.18913,1.76429,5.61664,0.3878,0.00886993,0.00886993,0.00886993
19,2471.09,1.6845,2.87799,0.38941,0.41732,0.25729,0.25469,0.18944,1.78296,5.83369,0.39042,0.00880346,0.00880346,0.00880346
20,2595.35,1.67471,2.83255,0.39008,0.49885,0.24958,0.25547,0.192,1.78786,5.62839,0.39071,0.00873698,0.00873698,0.00873698
21,2719.51,1.66139,2.76121,0.38722,0.48466,0.27104,0.2709,0.20187,1.7859,5.6183,0.39022,0.00867051,0.00867051,0.00867051
22,2844.17,1.64641,2.6738,0.38581,0.43961,0.28609,0.26999,0.20213,1.77984,5.53015,0.39001,0.00860403,0.00860403,0.00860403
23,2975.33,1.63827,2.61231,0.38388,0.45843,0.28228,0.26424,0.1954,1.78243,5.59523,0.38949,0.00853756,0.00853756,0.00853756
24,3097.55,1.60432,2.53458,0.38117,0.4882,0.26214,0.26775,0.2006,1.7737,5.771,0.38811,0.00847108,0.00847108,0.00847108
25,3219.98,1.62323,2.49463,0.38196,0.46834,0.27782,0.27932,0.20785,1.79059,5.49345,0.39053,0.00840461,0.00840461,0.00840461
26,3344.4,1.59033,2.4233,0.38003,0.58277,0.26088,0.28358,0.2112,1.77363,5.52304,0.39065,0.00833813,0.00833813,0.00833813
27,3464.77,1.58354,2.37114,0.37739,0.52344,0.26866,0.2712,0.2032,1.78346,5.6419,0.3921,0.00827166,0.00827166,0.00827166
28,3585.14,1.59564,2.38483,0.37733,0.48234,0.2818,0.28,0.20796,1.77277,5.58817,0.38927,0.00820518,0.00820518,0.00820518
29,3705,1.56203,2.32085,0.37431,0.46938,0.28094,0.28836,0.21405,1.75929,5.48448,0.38973,0.00813871,0.00813871,0.00813871
30,3825.17,1.55024,2.29614,0.37376,0.49372,0.27118,0.27759,0.20613,1.7672,5.76138,0.38759,0.00807223,0.00807223,0.00807223
31,3945.33,1.55822,2.25017,0.37523,0.49291,0.28033,0.28396,0.213,1.74493,5.66577,0.39001,0.00800576,0.00800576,0.00800576
32,4064.93,1.54778,2.19731,0.37154,0.56268,0.27945,0.28772,0.21103,1.7718,5.58568,0.38982,0.00793929,0.00793929,0.00793929
33,4184.41,1.54081,2.18688,0.37198,0.49373,0.28712,0.29479,0.22157,1.73074,5.6097,0.38867,0.00787281,0.00787281,0.00787281
34,4305.92,1.5309,2.13974,0.37031,0.55314,0.27881,0.29274,0.21833,1.73702,5.64446,0.38581,0.00780634,0.00780634,0.00780634
35,4425.74,1.52153,2.1042,0.37056,0.52405,0.28851,0.28609,0.21086,1.76083,5.71377,0.38685,0.00773986,0.00773986,0.00773986
36,4545.36,1.51071,2.06364,0.36931,0.58018,0.27706,0.29582,0.21982,1.76336,5.54801,0.38716,0.00767339,0.00767339,0.00767339
37,4665.37,1.4987,2.06815,0.36776,0.57288,0.27638,0.29484,0.22048,1.74068,5.52926,0.38655,0.00760691,0.00760691,0.00760691
38,4784.79,1.47445,1.99751,0.36421,0.57238,0.2887,0.31078,0.23012,1.76077,5.52339,0.38936,0.00754044,0.00754044,0.00754044
39,4904.38,1.49059,1.99537,0.36786,0.57408,0.27868,0.30342,0.23076,1.7232,5.5714,0.38705,0.00747396,0.00747396,0.00747396
40,5023.97,1.46846,1.98027,0.36595,0.57,0.28524,0.29854,0.22325,1.74775,5.52677,0.38815,0.00740749,0.00740749,0.00740749
41,5144.26,1.45386,1.93879,0.36225,0.57604,0.28708,0.30329,0.22645,1.73754,5.56764,0.38822,0.00734101,0.00734101,0.00734101
42,5264.21,1.46433,1.92086,0.36339,0.56265,0.28335,0.29882,0.22397,1.75558,5.64398,0.38642,0.00727454,0.00727454,0.00727454
43,5384.44,1.47177,1.92902,0.36478,0.58159,0.28752,0.30314,0.22391,1.75684,5.59162,0.38817,0.00720806,0.00720806,0.00720806
44,5504.07,1.45118,1.86369,0.36016,0.50976,0.3067,0.31011,0.2305,1.75116,5.60007,0.38773,0.00714159,0.00714159,0.00714159
45,5623.96,1.41947,1.83744,0.36081,0.54236,0.31003,0.3159,0.23753,1.73312,5.48964,0.38719,0.00707511,0.00707511,0.00707511
46,5745.04,1.42304,1.84161,0.35982,0.56645,0.29728,0.30361,0.22662,1.74282,5.6928,0.38797,0.00700864,0.00700864,0.00700864
47,5865.19,1.41632,1.82341,0.35976,0.58442,0.28352,0.31245,0.23367,1.73269,5.47684,0.38418,0.00694217,0.00694217,0.00694217
48,5985.87,1.41014,1.80549,0.35855,0.64087,0.28191,0.31271,0.23585,1.70149,5.52643,0.38389,0.00687569,0.00687569,0.00687569
49,6105.79,1.40338,1.80277,0.35695,0.59013,0.30299,0.31346,0.23553,1.71598,5.61883,0.38552,0.00680922,0.00680922,0.00680922
50,6224.85,1.39527,1.7457,0.35712,0.5939,0.28957,0.3067,0.22992,1.72713,5.73784,0.38571,0.00674274,0.00674274,0.00674274
51,6344.74,1.3863,1.73072,0.35648,0.62742,0.29007,0.31053,0.23371,1.74468,5.59997,0.38956,0.00667627,0.00667627,0.00667627
52,6465.26,1.37382,1.72109,0.35517,0.54818,0.3054,0.3117,0.23239,1.74487,5.64444,0.38703,0.00660979,0.00660979,0.00660979
53,6585.06,1.36066,1.71459,0.35505,0.54637,0.29894,0.31285,0.23463,1.7211,5.6364,0.38426,0.00654332,0.00654332,0.00654332
54,6704.8,1.36834,1.70861,0.35345,0.56853,0.3046,0.31649,0.23732,1.72141,5.62249,0.3859,0.00647684,0.00647684,0.00647684
55,6824.65,1.36203,1.69636,0.35419,0.60192,0.29408,0.31877,0.23921,1.72972,5.55705,0.38888,0.00641037,0.00641037,0.00641037
56,6944.24,1.35425,1.67821,0.35288,0.65852,0.28748,0.32433,0.24534,1.70399,5.60585,0.38451,0.00634389,0.00634389,0.00634389
57,7064.2,1.35043,1.65742,0.35445,0.5687,0.30313,0.32112,0.24451,1.71082,5.68876,0.38581,0.00627742,0.00627742,0.00627742
58,7183.99,1.34147,1.63698,0.35099,0.58395,0.30063,0.32068,0.24079,1.7023,5.58255,0.38562,0.00621094,0.00621094,0.00621094
59,7303.77,1.33861,1.63995,0.35236,0.63576,0.29302,0.32549,0.24453,1.71455,5.56195,0.38473,0.00614447,0.00614447,0.00614447
60,7423.33,1.32762,1.6149,0.35162,0.59196,0.31039,0.3279,0.24803,1.72961,5.51919,0.38666,0.00607799,0.00607799,0.00607799
61,7543.11,1.34263,1.62363,0.35161,0.57266,0.31273,0.3303,0.24734,1.73909,5.53392,0.38775,0.00601152,0.00601152,0.00601152
62,7662.46,1.31636,1.60157,0.35126,0.61734,0.3027,0.33076,0.24844,1.733,5.63361,0.38589,0.00594505,0.00594505,0.00594505
63,7782.31,1.30247,1.56944,0.34916,0.60608,0.31735,0.32944,0.24734,1.72679,5.72957,0.38695,0.00587857,0.00587857,0.00587857
64,7901.66,1.30421,1.5598,0.34768,0.61085,0.311,0.32823,0.24814,1.73485,5.62526,0.38758,0.0058121,0.0058121,0.0058121
65,8023.26,1.30456,1.55171,0.34762,0.59959,0.30462,0.33021,0.24936,1.72501,5.54638,0.38624,0.00574562,0.00574562,0.00574562
66,8142.89,1.29134,1.55327,0.34643,0.68023,0.30166,0.33494,0.25412,1.72476,5.56439,0.38589,0.00567915,0.00567915,0.00567915
67,8262.82,1.29864,1.533,0.34578,0.60739,0.3134,0.33422,0.25254,1.72167,5.61305,0.38664,0.00561267,0.00561267,0.00561267
68,8381.89,1.28656,1.52789,0.34612,0.63,0.30917,0.3361,0.25542,1.72143,5.55319,0.38774,0.0055462,0.0055462,0.0055462
69,8501.9,1.28425,1.53578,0.34636,0.61065,0.31668,0.33964,0.25774,1.70503,5.50121,0.38524,0.00547972,0.00547972,0.00547972
70,8624.01,1.29109,1.53588,0.34714,0.64348,0.30507,0.33931,0.25567,1.71598,5.60154,0.38641,0.00541325,0.00541325,0.00541325
