epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.152,1.54832,4.17689,1.39896,0.39108,0.09162,0.04365,0.02885,1.3076,3.94164,1.21641,0.000151149,0.000151149,0.000151149
2,357.513,1.55,3.58785,1.39484,0.14228,0.16473,0.0526,0.03409,1.3825,3.75869,1.27963,0.00029682,0.00029682,0.00029682
3,519.865,1.55421,3.38964,1.3952,0.16138,0.1608,0.06269,0.04015,1.35818,3.56751,1.25847,0.000436485,0.000436485,0.000436485
4,679.394,1.56957,3.22734,1.40146,0.18969,0.15001,0.0781,0.0513,1.36971,3.30937,1.25019,0.000427973,0.000427973,0.000427973
5,853.062,1.5312,3.10138,1.37626,0.19224,0.15851,0.09365,0.06326,1.3209,3.02756,1.23124,0.000418964,0.000418964,0.000418964
6,1054.08,1.49813,2.96357,1.36284,0.23201,0.15031,0.09056,0.06298,1.29565,3.31366,1.24173,0.000409955,0.000409955,0.000409955
7,1251.6,1.48285,2.91115,1.35306,0.20486,0.19217,0.10233,0.06923,1.30263,2.95155,1.20755,0.000400946,0.000400946,0.000400946
8,1428.27,1.46954,2.79371,1.33176,0.24708,0.20116,0.1169,0.08177,1.2721,2.77305,1.20413,0.000391937,0.000391937,0.000391937
9,1604.33,1.45835,2.7427,1.33331,0.25995,0.1942,0.13079,0.0912,1.25444,2.68814,1.17524,0.000382928,0.000382928,0.000382928
10,1777.88,1.44563,2.67765,1.32365,0.25629,0.2183,0.13589,0.09582,1.27733,2.69501,1.19567,0.000373919,0.000373919,0.000373919
11,1944.14,1.4339,2.62154,1.31691,0.26003,0.21087,0.14944,0.10393,1.26928,2.6427,1.19962,0.00036491,0.00036491,0.00036491
12,2111.76,1.41742,2.58438,1.3111,0.26117,0.22633,0.14368,0.10083,1.25982,2.6084,1.19217,0.000355901,0.000355901,0.000355901
13,2283.37,1.41132,2.54301,1.30037,0.27202,0.20628,0.14477,0.10083,1.26029,2.61434,1.17686,0.000346892,0.000346892,0.000346892
14,2457.39,1.41014,2.50164,1.2979,0.27209,0.22735,0.16213,0.11577,1.21618,2.49163,1.17204,0.000337883,0.000337883,0.000337883
15,2623.76,1.41417,2.44285,1.29283,0.31362,0.20985,0.16685,0.11513,1.25746,2.51287,1.1913,0.000328874,0.000328874,0.000328874
16,2787.04,1.39075,2.39156,1.2904,0.30362,0.22084,0.16832,0.11734,1.23405,2.48754,1.1871,0.000319865,0.000319865,0.000319865
17,2950.34,1.38344,2.33209,1.28334,0.28953,0.21976,0.16522,0.11603,1.2413,2.56022,1.17972,0.000310856,0.000310856,0.000310856
18,3112.89,1.38006,2.33216,1.27441,0.29796,0.23869,0.17745,0.12433,1.22608,2.45786,1.16829,0.000301847,0.000301847,0.000301847
19,3276.68,1.35317,2.24112,1.25546,0.32685,0.22404,0.17944,0.12875,1.21603,2.50304,1.16666,0.000292838,0.000292838,0.000292838
20,3440.06,1.36236,2.24608,1.2715,0.30771,0.21886,0.16543,0.11622,1.2363,2.5062,1.1768,0.000283829,0.000283829,0.000283829
21,3603,1.35741,2.2333,1.2593,0.29987,0.23809,0.18091,0.12841,1.21842,2.46612,1.16682,0.00027482,0.00027482,0.00027482
22,3764.87,1.35443,2.17046,1.25739,0.31761,0.24509,0.19861,0.14156,1.20942,2.42633,1.16323,0.000265811,0.000265811,0.000265811
23,3925.72,1.34392,2.13918,1.25358,0.27815,0.2414,0.19985,0.14359,1.20428,2.40354,1.15867,0.000256802,0.000256802,0.000256802
24,4086.99,1.3295,2.09921,1.24474,0.37868,0.22916,0.20449,0.1472,1.21273,2.37757,1.16215,0.000247793,0.000247793,0.000247793
25,4248.19,1.308,2.05216,1.23835,0.3651,0.22822,0.20627,0.14951,1.20215,2.37827,1.15081,0.000238784,0.000238784,0.000238784
26,4410.71,1.32036,2.04173,1.24437,0.36901,0.23549,0.21137,0.15353,1.19292,2.39498,1.15864,0.000229775,0.000229775,0.000229775
27,4571.68,1.31073,2.0042,1.22848,0.29971,0.25449,0.22399,0.16268,1.20245,2.34021,1.14851,0.000220766,0.000220766,0.000220766
28,4732.39,1.31619,1.96437,1.23126,0.3764,0.25846,0.21999,0.16296,1.17598,2.33565,1.14562,0.000211757,0.000211757,0.000211757
29,4893.7,1.29066,1.9348,1.22066,0.37819,0.24512,0.21938,0.15945,1.18458,2.32092,1.14842,0.000202748,0.000202748,0.000202748
30,5056.1,1.29664,1.90687,1.2228,0.4337,0.22742,0.21771,0.16031,1.18069,2.32726,1.14789,0.000193739,0.000193739,0.000193739
31,5217.76,1.28003,1.8507,1.2036,0.36167,0.25288,0.22763,0.16432,1.20632,2.33264,1.15667,0.00018473,0.00018473,0.00018473
32,5379.61,1.27468,1.83875,1.20495,0.35765,0.24087,0.22133,0.16148,1.18596,2.34455,1.14951,0.000175721,0.000175721,0.000175721
33,5541.12,1.28265,1.83563,1.21091,0.37088,0.24409,0.22776,0.1684,1.18848,2.33753,1.14342,0.000166712,0.000166712,0.000166712
34,5703.95,1.26733,1.79279,1.20203,0.41811,0.24573,0.23735,0.17421,1.19784,2.27229,1.16303,0.000157703,0.000157703,0.000157703
35,5866.02,1.25966,1.77079,1.19972,0.42926,0.25234,0.24231,0.1767,1.20194,2.27256,1.14993,0.000148694,0.000148694,0.000148694
36,6027.17,1.25776,1.76297,1.19515,0.38682,0.2595,0.2466,0.18267,1.17019,2.24644,1.13795,0.000139685,0.000139685,0.000139685
37,6188.87,1.2353,1.70864,1.18492,0.36839,0.26732,0.25146,0.18706,1.18491,2.23555,1.14704,0.000130676,0.000130676,0.000130676
38,6350.74,1.24458,1.69818,1.18881,0.39968,0.25176,0.24706,0.18246,1.1902,2.27341,1.14326,0.000121667,0.000121667,0.000121667
39,6514.09,1.23241,1.67341,1.17928,0.37264,0.26483,0.2537,0.18639,1.1954,2.23049,1.15238,0.000112658,0.000112658,0.000112658
40,6676.23,1.22831,1.65675,1.17694,0.44355,0.25375,0.2574,0.19043,1.17746,2.23177,1.139,0.000103649,0.000103649,0.000103649
41,6833.05,1.18291,1.57974,1.14972,0.39304,0.27488,0.26522,0.19701,1.18735,2.22303,1.14281,9.464e-05,9.464e-05,9.464e-05
42,6989.65,1.16726,1.50785,1.14427,0.4704,0.26699,0.26706,0.19965,1.18159,2.24183,1.13767,8.5631e-05,8.5631e-05,8.5631e-05
43,7145.94,1.16499,1.47651,1.13847,0.40591,0.28035,0.26815,0.20129,1.17891,2.23164,1.14149,7.6622e-05,7.6622e-05,7.6622e-05
44,7302.42,1.15104,1.43707,1.13163,0.40691,0.28305,0.27382,0.2039,1.17452,2.21868,1.13543,6.7613e-05,6.7613e-05,6.7613e-05
45,7459.05,1.14897,1.43134,1.13137,0.40197,0.29154,0.27763,0.20769,1.16966,2.19702,1.13516,5.8604e-05,5.8604e-05,5.8604e-05
46,7617.02,1.13816,1.39979,1.12007,0.434,0.29116,0.28419,0.2138,1.16296,2.18923,1.13131,4.9595e-05,4.9595e-05,4.9595e-05
47,7773.11,1.14537,1.38492,1.12471,0.48884,0.27194,0.28131,0.21145,1.16939,2.20091,1.13321,4.0586e-05,4.0586e-05,4.0586e-05
48,7929.17,1.12684,1.36314,1.11419,0.44769,0.27989,0.28049,0.21063,1.1678,2.18921,1.13221,3.1577e-05,3.1577e-05,3.1577e-05
49,8084.44,1.11919,1.34755,1.11067,0.44836,0.28375,0.28228,0.21106,1.16977,2.20031,1.13335,2.2568e-05,2.2568e-05,2.2568e-05
50,8238.87,1.1224,1.35377,1.11061,0.4268,0.29116,0.28274,0.21166,1.16376,2.19255,1.13105,1.3559e-05,1.3559e-05,1.3559e-05
