epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.55,2.38215,11.3849,0.51268,0.1334,0.12471,0.05106,0.03743,1.79979,8.62697,0.40576,0.00332203,0.00332203,0.00332203
2,332.557,2.13116,7.74777,0.46752,0.29365,0.1842,0.10432,0.07723,1.76347,7.14722,0.39518,0.00662219,0.00662219,0.00662219
3,468.783,2.08119,6.93679,0.44945,0.26978,0.18109,0.13101,0.09713,1.79979,6.74063,0.39575,0.0098891,0.0098891,0.0098891
4,643.555,2.07924,6.43535,0.44356,0.29633,0.20285,0.14511,0.10541,1.80451,6.56583,0.39294,0.00985043,0.00985043,0.00985043
5,800.916,2.04571,5.89307,0.43705,0.32571,0.17896,0.15683,0.11549,1.80301,6.21156,0.39744,0.00980058,0.00980058,0.00980058
6,965.135,1.97659,5.42532,0.428,0.29022,0.21497,0.14826,0.10827,1.87291,6.50143,0.40338,0.00975072,0.00975072,0.00975072
7,1121.53,1.93805,5.07702,0.42356,0.32872,0.2347,0.19171,0.13944,1.80755,5.78868,0.39376,0.00970086,0.00970086,0.00970086
8,1257.91,1.90939,4.6877,0.42021,0.33897,0.22645,0.18832,0.13864,1.81546,5.99812,0.3971,0.00965101,0.00965101,0.00965101
9,1392.38,1.86908,4.38562,0.4154,0.36743,0.22962,0.20236,0.14896,1.77318,5.96915,0.39257,0.00960115,0.00960115,0.00960115
10,1531.72,1.8685,4.21761,0.41238,0.33885,0.23591,0.20545,0.15413,1.79396,5.90746,0.39231,0.0095513,0.0095513,0.0095513
11,1665.98,1.85083,4.01172,0.40998,0.39603,0.24091,0.21519,0.16131,1.76974,5.77487,0.38965,0.00950144,0.00950144,0.00950144
12,1797.02,1.82535,3.83512,0.40712,0.40485,0.24375,0.22292,0.16824,1.72149,5.65496,0.38314,0.00945158,0.00945158,0.00945158
13,1928.11,1.80068,3.64728,0.40286,0.4031,0.25791,0.23785,0.17554,1.79656,5.59407,0.38985,0.00940173,0.00940173,0.00940173
14,2059.71,1.76334,3.44012,0.3991,0.51187,0.2057,0.22444,0.16875,1.77575,5.98374,0.39426,0.00935187,0.00935187,0.00935187
15,2190.93,1.77103,3.34323,0.39919,0.42665,0.2418,0.24393,0.18241,1.77261,5.69844,0.39411,0.00930202,0.00930202,0.00930202
16,2323.32,1.74455,3.25698,0.39576,0.521,0.24998,0.25972,0.19605,1.74489,5.51183,0.38823,0.00925216,0.00925216,0.00925216
17,2453.79,1.7271,3.14938,0.39312,0.4539,0.25135,0.24472,0.18292,1.76542,5.77206,0.38793,0.0092023,0.0092023,0.0092023
18,2584.6,1.71799,3.03415,0.39324,0.44698,0.25627,0.25209,0.18901,1.76086,5.68116,0.38987,0.00915245,0.00915245,0.00915245
19,2715.63,1.70763,2.93928,0.39077,0.46121,0.25738,0.24563,0.1821,1.79122,5.60588,0.39413,0.00910259,0.00910259,0.00910259
20,2846.6,1.68312,2.85096,0.38841,0.48682,0.26077,0.26062,0.19422,1.76481,5.8189,0.39001,0.00905274,0.00905274,0.00905274
21,2970.94,1.67378,2.78843,0.38802,0.45967,0.27031,0.26655,0.19939,1.79492,5.63273,0.39163,0.00900288,0.00900288,0.00900288
22,3093.8,1.64911,2.69117,0.38441,0.4641,0.27504,0.27636,0.20435,1.79564,5.49501,0.39103,0.00895302,0.00895302,0.00895302
