epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.065,2.35977,11.9674,0.49025,0.15384,0.08392,0.0269,0.01796,2.04043,10.8167,0.41112,0.00332203,0.00332203,0.00332203
2,239.151,2.40493,10.0489,0.4841,0.16195,0.142,0.03908,0.02667,2.05926,9.46147,0.41499,0.00662219,0.00662219,0.00662219
3,324.554,2.42689,9.09703,0.48225,0.17733,0.12286,0.0434,0.02847,2.15844,9.65762,0.43315,0.0098891,0.0098891,0.0098891
4,410.945,2.44078,8.61773,0.4824,0.20668,0.1489,0.06393,0.04351,2.13387,8.87138,0.42427,0.00985043,0.00985043,0.00985043
5,494.136,2.40751,8.23302,0.4749,0.23576,0.13587,0.06939,0.04703,2.16249,8.48132,0.42212,0.00980058,0.00980058,0.00980058
6,580.909,2.34528,7.90829,0.46629,0.2522,0.16797,0.0919,0.06269,2.08101,8.15462,0.41053,0.00975072,0.00975072,0.00975072
7,672.29,2.32455,7.57282,0.46283,0.27656,0.16266,0.09576,0.06691,2.09697,8.04588,0.41482,0.00970086,0.00970086,0.00970086
8,758.613,2.28406,7.26461,0.4579,0.24116,0.17875,0.11857,0.08151,2.06723,7.59744,0.41206,0.00965101,0.00965101,0.00965101
9,847.944,2.24603,7.01453,0.45382,0.2382,0.17048,0.11001,0.07762,2.00878,7.86213,0.4086,0.00960115,0.00960115,0.00960115
10,978.112,2.23714,6.80684,0.45165,0.26565,0.19561,0.12985,0.09137,1.96441,7.5466,0.40349,0.0095513,0.0095513,0.0095513
11,1068.48,2.21161,6.5994,0.44821,0.26858,0.20458,0.12881,0.08977,2.0079,7.99357,0.4113,0.00950144,0.00950144,0.00950144
12,1159.06,2.20281,6.45485,0.44657,0.28197,0.19992,0.14922,0.1052,2.00996,7.32031,0.40803,0.00945158,0.00945158,0.00945158
13,1246.39,2.17158,6.25006,0.44246,0.29717,0.20313,0.15461,0.10644,2.02833,7.31875,0.40728,0.00940173,0.00940173,0.00940173
14,1332.39,2.15074,6.02565,0.43723,0.31483,0.20325,0.15302,0.10789,1.97795,7.18938,0.4052,0.00935187,0.00935187,0.00935187
15,1418.42,2.15234,5.89659,0.43843,0.28627,0.19542,0.15598,0.10943,1.97739,7.58766,0.40774,0.00930202,0.00930202,0.00930202
16,1503.8,2.12905,5.7956,0.43535,0.35087,0.20642,0.17148,0.1239,1.95263,7.0484,0.40455,0.00925216,0.00925216,0.00925216
17,1588.3,2.11434,5.61852,0.43574,0.31227,0.21368,0.17308,0.12476,2.00753,6.94298,0.41313,0.0092023,0.0092023,0.0092023
18,1672.61,2.10043,5.5128,0.43383,0.31121,0.19554,0.16285,0.11709,1.95908,7.03633,0.40186,0.00915245,0.00915245,0.00915245
19,1755.91,2.08336,5.3151,0.43078,0.37477,0.20596,0.18515,0.13679,1.93525,6.94,0.40182,0.00910259,0.00910259,0.00910259
20,1839.5,2.05289,5.18806,0.42735,0.39561,0.20228,0.18316,0.13184,1.9411,6.80547,0.40125,0.00905274,0.00905274,0.00905274
21,1923.99,2.04496,5.0308,0.42597,0.3531,0.20937,0.18311,0.13362,1.95468,6.93395,0.40301,0.00900288,0.00900288,0.00900288
22,2007.47,2.03843,4.89997,0.42575,0.36855,0.22071,0.18397,0.13468,1.9544,6.89542,0.40088,0.00895302,0.00895302,0.00895302
23,2091.04,2.03104,4.91127,0.42367,0.36715,0.22898,0.19154,0.13784,1.93565,6.87408,0.39921,0.00890317,0.00890317,0.00890317
24,2174.81,1.99817,4.75477,0.42065,0.36094,0.22704,0.19893,0.1447,1.92246,6.66359,0.39745,0.00885331,0.00885331,0.00885331
25,2258,2.00143,4.62535,0.42174,0.39084,0.2205,0.19717,0.14184,1.96081,6.70056,0.40268,0.00880346,0.00880346,0.00880346
26,2341.8,1.97519,4.50585,0.41798,0.40429,0.22045,0.20213,0.14489,1.96246,6.61191,0.40077,0.0087536,0.0087536,0.0087536
27,2424.94,1.98228,4.45357,0.41762,0.40972,0.2234,0.20169,0.14829,1.91836,6.66755,0.40011,0.00870374,0.00870374,0.00870374
28,2508.33,1.9626,4.34459,0.4165,0.42046,0.22426,0.19783,0.14378,1.94901,6.68922,0.40008,0.00865389,0.00865389,0.00865389
29,2591.66,1.95404,4.26902,0.41506,0.42364,0.225,0.21228,0.15108,1.93506,6.64343,0.40085,0.00860403,0.00860403,0.00860403
30,2676.09,1.92597,4.14244,0.413,0.47704,0.22925,0.2231,0.16191,1.91597,6.43202,0.39922,0.00855418,0.00855418,0.00855418
31,2759.93,1.94128,4.09485,0.41466,0.35299,0.23511,0.21956,0.16036,1.94388,6.48381,0.39881,0.00850432,0.00850432,0.00850432
32,2843.9,1.92995,4.02823,0.41115,0.536,0.22556,0.23318,0.17089,1.91687,6.28552,0.39852,0.00845446,0.00845446,0.00845446
33,2927.88,1.91043,3.92398,0.41007,0.46827,0.24022,0.23152,0.17128,1.87867,6.36741,0.39878,0.00840461,0.00840461,0.00840461
34,3012.36,1.90095,3.89611,0.4093,0.4257,0.24002,0.23837,0.17443,1.89887,6.28685,0.39666,0.00835475,0.00835475,0.00835475
35,3096.13,1.89922,3.78416,0.40851,0.44254,0.23266,0.23594,0.17363,1.90525,6.30152,0.39501,0.0083049,0.0083049,0.0083049
36,3179.72,1.91199,3.80908,0.40893,0.46288,0.24361,0.24394,0.18044,1.87364,6.1921,0.39531,0.00825504,0.00825504,0.00825504
37,3263,1.89083,3.75204,0.40804,0.45297,0.24145,0.23719,0.17416,1.91432,6.32329,0.39757,0.00820518,0.00820518,0.00820518
38,3346.49,1.8524,3.59607,0.40196,0.49701,0.23769,0.24892,0.18345,1.90403,6.15126,0.3993,0.00815533,0.00815533,0.00815533
