epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.869,1.97188,10.9681,0.50941,0.15329,0.13926,0.05306,0.03856,1.49617,8.42579,0.39726,0.00332203,0.00332203,0.00332203
2,317.737,1.77885,7.5342,0.45726,0.31797,0.19233,0.10433,0.07539,1.4563,7.31389,0.38369,0.00662219,0.00662219,0.00662219
3,443.921,1.7286,6.85656,0.44173,0.17247,0.15704,0.0715,0.04877,1.69543,8.08398,0.43208,0.0098891,0.0098891,0.0098891
4,580.632,1.77332,6.55928,0.44185,0.24197,0.18512,0.11808,0.08342,1.59664,6.7035,0.41681,0.00985043,0.00985043,0.00985043
5,761.811,1.74726,5.99599,0.43786,0.31216,0.19519,0.15108,0.10987,1.53746,6.41491,0.39415,0.00980058,0.00980058,0.00980058
6,910.902,1.68008,5.52284,0.42849,0.30897,0.21066,0.16021,0.11542,1.5203,6.08171,0.39746,0.00975072,0.00975072,0.00975072
7,1036.51,1.67199,5.22228,0.42736,0.31292,0.2338,0.17514,0.12702,1.53175,5.97066,0.3996,0.00970086,0.00970086,0.00970086
8,1162.52,1.64439,4.79579,0.42284,0.31758,0.21273,0.18789,0.13766,1.53801,5.96644,0.39964,0.00965101,0.00965101,0.00965101
9,1287.38,1.61455,4.53855,0.41861,0.29701,0.20843,0.16584,0.12149,1.54596,6.37794,0.395,0.00960115,0.00960115,0.00960115
10,1413.95,1.60609,4.26871,0.41404,0.37276,0.24151,0.20808,0.15271,1.51122,5.8249,0.3962,0.0095513,0.0095513,0.0095513
11,1541.36,1.58983,4.14801,0.41347,0.36027,0.21506,0.19501,0.14282,1.53495,6.29777,0.39688,0.00950144,0.00950144,0.00950144
12,1667.59,1.57805,3.94413,0.41021,0.40259,0.23964,0.21974,0.1632,1.48022,5.64802,0.38722,0.00945158,0.00945158,0.00945158
13,1794.02,1.55906,3.77128,0.4058,0.37278,0.25043,0.2288,0.16777,1.52398,5.75716,0.39444,0.00940173,0.00940173,0.00940173
14,1922.47,1.51934,3.58467,0.40111,0.40294,0.26437,0.24458,0.18161,1.4742,5.61463,0.38768,0.00935187,0.00935187,0.00935187
15,2048.64,1.52764,3.47736,0.40228,0.41699,0.25853,0.24809,0.18049,1.49041,5.53588,0.39291,0.00930202,0.00930202,0.00930202
16,2173.72,1.51697,3.35952,0.40072,0.45994,0.24329,0.24848,0.18768,1.47271,5.60973,0.38837,0.00925216,0.00925216,0.00925216
17,2299.19,1.50136,3.26223,0.39712,0.40764,0.24674,0.24196,0.17861,1.48994,5.60281,0.39172,0.0092023,0.0092023,0.0092023
18,2424.1,1.49689,3.14722,0.39744,0.4127,0.27725,0.26542,0.19648,1.47822,5.52694,0.38817,0.00915245,0.00915245,0.00915245
19,2549.96,1.48228,3.04921,0.39566,0.50733,0.25852,0.26726,0.197,1.47531,5.47066,0.38885,0.00910259,0.00910259,0.00910259
20,2674.95,1.46418,2.93676,0.39306,0.44405,0.26906,0.25679,0.19006,1.47948,5.6574,0.38974,0.00905274,0.00905274,0.00905274
21,2800.15,1.45053,2.84265,0.39155,0.4415,0.28531,0.27931,0.20767,1.49318,5.31957,0.38912,0.00900288,0.00900288,0.00900288
22,2925.56,1.43699,2.79121,0.38896,0.45188,0.28681,0.28325,0.21006,1.47911,5.39088,0.38694,0.00895302,0.00895302,0.00895302
23,3050.91,1.43759,2.74904,0.38869,0.49551,0.26893,0.27638,0.20286,1.48493,5.56583,0.39005,0.00890317,0.00890317,0.00890317
24,3175.91,1.41297,2.68792,0.38657,0.52163,0.28004,0.28671,0.21149,1.48642,5.41898,0.38714,0.00885331,0.00885331,0.00885331
25,3301.1,1.4103,2.59382,0.38628,0.49946,0.28583,0.29625,0.21583,1.48151,5.42823,0.38736,0.00880346,0.00880346,0.00880346
26,3427.37,1.39676,2.52761,0.38301,0.47884,0.28045,0.28049,0.2043,1.48753,5.71473,0.38952,0.0087536,0.0087536,0.0087536
27,3552.61,1.40311,2.50183,0.38281,0.5368,0.27521,0.29286,0.21372,1.47099,5.52994,0.38461,0.00870374,0.00870374,0.00870374
28,3677.64,1.39096,2.4643,0.38179,0.48844,0.28972,0.29,0.21307,1.47594,5.51709,0.38731,0.00865389,0.00865389,0.00865389
29,3804.39,1.37815,2.43171,0.38054,0.56117,0.27816,0.30201,0.22176,1.4805,5.2535,0.38716,0.00860403,0.00860403,0.00860403
30,3929.62,1.35972,2.35217,0.37939,0.48611,0.29731,0.29084,0.2102,1.50932,5.5406,0.39107,0.00855418,0.00855418,0.00855418
31,4054.88,1.37086,2.33531,0.38109,0.49429,0.29799,0.30114,0.22161,1.46482,5.3341,0.38519,0.00850432,0.00850432,0.00850432
32,4180.09,1.35931,2.29254,0.37808,0.52953,0.30618,0.31791,0.2337,1.47852,5.34243,0.38707,0.00845446,0.00845446,0.00845446
33,4305.6,1.34639,2.25827,0.37735,0.53292,0.29807,0.31197,0.22946,1.47197,5.33242,0.38632,0.00840461,0.00840461,0.00840461
34,4430.77,1.32918,2.22811,0.37485,0.50796,0.30986,0.31312,0.23103,1.46476,5.39005,0.38512,0.00835475,0.00835475,0.00835475
35,4556.02,1.32829,2.17359,0.37447,0.52128,0.30144,0.31157,0.22948,1.49686,5.3736,0.38936,0.0083049,0.0083049,0.0083049
36,4681.37,1.33972,2.1937,0.37516,0.56767,0.29029,0.31099,0.23042,1.47648,5.40508,0.3865,0.00825504,0.00825504,0.00825504
37,4806.42,1.31279,2.14293,0.37356,0.58392,0.30284,0.31602,0.23077,1.46841,5.36053,0.38409,0.00820518,0.00820518,0.00820518
38,4931.14,1.29628,2.0667,0.37018,0.54791,0.29425,0.30692,0.22501,1.48549,5.4796,0.39078,0.00815533,0.00815533,0.00815533
39,5056.29,1.32042,2.11792,0.37261,0.5824,0.29495,0.31661,0.23463,1.45091,5.51794,0.3851,0.00810547,0.00810547,0.00810547
40,5181.6,1.28684,2.06043,0.36976,0.5611,0.30339,0.32043,0.23719,1.44089,5.42133,0.38432,0.00805562,0.00805562,0.00805562
41,5306.8,1.2903,2.03132,0.36781,0.52886,0.3185,0.32111,0.23846,1.43426,5.2981,0.38219,0.00800576,0.00800576,0.00800576
42,5432.94,1.29218,2.0128,0.36854,0.60066,0.28659,0.31345,0.23113,1.47697,5.50047,0.38534,0.0079559,0.0079559,0.0079559
43,5557.92,1.29177,1.99209,0.36857,0.5869,0.30153,0.33063,0.24596,1.43921,5.41934,0.38284,0.00790605,0.00790605,0.00790605
44,5683.16,1.27105,1.94196,0.36559,0.62406,0.29905,0.32139,0.23828,1.46169,5.55632,0.38468,0.00785619,0.00785619,0.00785619
45,5808.41,1.26222,1.927,0.36464,0.60055,0.30215,0.32116,0.24019,1.42321,5.45083,0.38165,0.00780634,0.00780634,0.00780634
46,5933.58,1.24613,1.92383,0.36414,0.56906,0.30942,0.32719,0.243,1.44782,5.40259,0.38246,0.00775648,0.00775648,0.00775648
47,6058.64,1.26672,1.92529,0.36491,0.61249,0.30686,0.32997,0.2452,1.44018,5.44521,0.38457,0.00770662,0.00770662,0.00770662
48,6183.99,1.25609,1.90995,0.36488,0.59529,0.29933,0.31992,0.2379,1.44875,5.48391,0.38234,0.00765677,0.00765677,0.00765677
49,6309.05,1.24768,1.87745,0.36283,0.5946,0.30888,0.32491,0.24316,1.44115,5.52026,0.3843,0.00760691,0.00760691,0.00760691
50,6434.14,1.23666,1.85509,0.36208,0.54927,0.30872,0.3226,0.23901,1.458,5.5821,0.38684,0.00755706,0.00755706,0.00755706
51,6559.24,1.23256,1.82852,0.36227,0.54601,0.3204,0.33727,0.25089,1.4475,5.39994,0.38277,0.0075072,0.0075072,0.0075072
52,6684.16,1.23392,1.80929,0.36161,0.60938,0.31069,0.33636,0.25016,1.4356,5.49833,0.38192,0.00745734,0.00745734,0.00745734
53,6809.11,1.2171,1.78466,0.36013,0.60215,0.31586,0.33239,0.24436,1.44439,5.46611,0.38366,0.00740749,0.00740749,0.00740749
54,6934.15,1.24232,1.80771,0.36063,0.57148,0.3119,0.32678,0.24428,1.42527,5.61292,0.38235,0.00735763,0.00735763,0.00735763
55,7059.4,1.21472,1.77026,0.35873,0.57988,0.31224,0.325,0.24102,1.43541,5.57821,0.3838,0.00730778,0.00730778,0.00730778
56,7185,1.21057,1.748,0.35848,0.56385,0.31924,0.33093,0.24577,1.42907,5.47353,0.38179,0.00725792,0.00725792,0.00725792
