epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,655.619,1.48146,3.94823,1.38221,0.25471,0.16915,0.08061,0.05686,1.23494,3.24157,1.19677,0.000151149,0.000151149,0.000151149
2,1319.58,1.48928,3.09467,1.38083,0.20647,0.16991,0.06407,0.04135,1.33475,3.21944,1.29485,0.00029682,0.00029682,0.00029682
3,2005.68,1.5245,2.9383,1.39692,0.20897,0.18459,0.08697,0.05769,1.34256,2.97865,1.27677,0.000436485,0.000436485,0.000436485
4,2886.27,1.53909,2.87349,1.41185,0.22039,0.15655,0.09371,0.06215,1.35337,2.84297,1.28507,0.000427973,0.000427973,0.000427973
5,3836.35,1.49655,2.78869,1.38223,0.28209,0.17825,0.10853,0.07334,1.31475,2.78603,1.2508,0.000418964,0.000418964,0.000418964
6,4423.25,1.45679,2.66741,1.36423,0.2897,0.19023,0.11496,0.07816,1.2641,2.7172,1.23528,0.000409955,0.000409955,0.000409955
7,5102.83,1.43471,2.60736,1.34709,0.29034,0.20895,0.1339,0.09235,1.25089,2.6364,1.20987,0.000400946,0.000400946,0.000400946
8,6020.55,1.41218,2.48254,1.3225,0.26996,0.19975,0.13356,0.09382,1.27115,2.65354,1.22479,0.000391937,0.000391937,0.000391937
9,6816.49,1.39987,2.41497,1.32086,0.30995,0.21053,0.15288,0.10516,1.24556,2.50415,1.20495,0.000382928,0.000382928,0.000382928
10,7452.93,1.38621,2.35923,1.31078,0.26882,0.22749,0.17883,0.12361,1.21598,2.39264,1.19842,0.000373919,0.000373919,0.000373919
11,8264.74,1.36086,2.27127,1.29938,0.32227,0.21072,0.16416,0.11343,1.23313,2.4267,1.20843,0.00036491,0.00036491,0.00036491
12,9104.89,1.34296,2.20776,1.2918,0.34435,0.23492,0.17657,0.12404,1.20946,2.41532,1.17839,0.000355901,0.000355901,0.000355901
13,9818.3,1.32872,2.16678,1.27877,0.37081,0.22812,0.18936,0.13258,1.24461,2.47783,1.20094,0.000346892,0.000346892,0.000346892
14,10480.9,1.31565,2.12235,1.27033,0.38677,0.23099,0.20297,0.14471,1.18893,2.33163,1.17341,0.000337883,0.000337883,0.000337883
15,11387.9,1.32256,2.03949,1.26744,0.37078,0.23441,0.20886,0.15066,1.18754,2.32095,1.18284,0.000328874,0.000328874,0.000328874
16,12084.2,1.28966,1.95574,1.25743,0.29535,0.24707,0.20152,0.14598,1.16875,2.30601,1.17299,0.000319865,0.000319865,0.000319865
17,12892.8,1.28021,1.8886,1.25207,0.33227,0.25898,0.21622,0.15583,1.19671,2.29572,1.17309,0.000310856,0.000310856,0.000310856
18,13550.7,1.28077,1.8748,1.23978,0.34113,0.25693,0.22746,0.1656,1.17975,2.26788,1.16193,0.000301847,0.000301847,0.000301847
19,14207.9,1.24319,1.76492,1.21472,0.33516,0.27895,0.23559,0.17277,1.16587,2.25339,1.15888,0.000292838,0.000292838,0.000292838
20,14904.4,1.25563,1.74989,1.23305,0.39672,0.26751,0.23736,0.17335,1.168,2.25151,1.16671,0.000283829,0.000283829,0.000283829
21,15640.5,1.24122,1.71683,1.21649,0.42689,0.24989,0.24164,0.17662,1.18833,2.26292,1.18035,0.00027482,0.00027482,0.00027482
22,16299.7,1.22929,1.64773,1.21325,0.41869,0.25646,0.24786,0.18113,1.17221,2.32816,1.16277,0.000265811,0.000265811,0.000265811
23,17204,1.2188,1.60658,1.20012,0.40695,0.29016,0.26957,0.19846,1.17799,2.19304,1.16692,0.000256802,0.000256802,0.000256802
24,18142.1,1.20699,1.56426,1.19534,0.4321,0.28332,0.26825,0.19441,1.1727,2.19626,1.1625,0.000247793,0.000247793,0.000247793
25,19032.4,1.17843,1.51212,1.18339,0.43807,0.27368,0.26661,0.19608,1.16724,2.19226,1.15494,0.000238784,0.000238784,0.000238784
26,19747.6,1.19035,1.47844,1.19075,0.4943,0.27346,0.28274,0.21127,1.15103,2.16027,1.14591,0.000229775,0.000229775,0.000229775
